Name,Link,Rating,Price,Discount,Pack,Ingredients,Discription
Vitamin C Skincare Regimen Kit,https://mamaearth.in/product/vitamin-c-skincare-regimen-kit,5,899,28%,null,"['vitamin c', 'turmeric', 'common purslane', 'cucumber']","Vitamin C Skincare Regimen KitCleansing, Toning, and Moisturizing – You’ve got the perfect skin regimen covered! What could be better than this regimen containing potent Vitamin C and other natural ingredients!Make Vitamin C Skincare Regimen a part of your everyday routine for the skin of your desires. First, cleanse your face with Vitamin C & traditional Turmeric-induced face wash, and follow it up with soothing toner to tighten pores. Lastly, make your skin glow while sun-protecting it with face cream with SPF 20.Make Vitamin C Skincare Regimen a part of your everyday routine for the skin of your desires. First, cleanse your face with Vitamin C & traditional Turmeric-induced face wash, and follow it up with soothing toner to tighten pores. Lastly, make your skin glow while sun-protecting it with face cream with SPF 20.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes in our Vitamin C Skincare Regimen Kit– just as you would want your products.Vitamin C Face Wash – 100mlVitamin C Face Toner – 200mlVitamin C Face Cream – 50g"
Vitamin C Overnight Skin Glow Kit,https://mamaearth.in/product/vitamin-c-overnight-skin-glow-kit,5,899,28%,null,"['vitamin c', 'turmeric', 'aloe vera', 'cucumber']","Vitamin C Overnight Skin Glow KitWake up and glow with Vitamin C Overnight Skin Glow Kit! Get the skin you’ve always dreamt of having with a Vitamin C rich before bed skin regimen in place.While you protect your skin during the day, you need Vitamin C Overnight Skin Glow Kit to repair, hydrate, nourish, and rejuvenate at night. The nighttime skin regimen contains a face wash to wash away the impurities, followed by a toner to tighten the pores and a sleeping mask that replenishes the lost radiance. Wake up to a brighter and glowing you every morning.While you protect your skin during the day, you need Vitamin C Overnight Skin Glow Kit to repair, hydrate, nourish, and rejuvenate at night. The nighttime skin regimen contains a face wash to wash away the impurities, followed by a toner to tighten the pores and a sleeping mask that replenishes the lost radiance. Wake up to a brighter and glowing you every morning.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes in our Vitamin C Overnight Skin Glow Kit – just as you would want your products.Vitamin C Face Wash – 100mlVitamin C Toner – 1oomlVitamin C Sleeping Mask – 100g"
Vitamin C Glowing Skin Combo,https://mamaearth.in/product/vitamin-c-glowing-skin-combo,5,634,2%,null,"['vitamin c', 'turmeric', 'aloe vera', 'cucumber']","Vitamin C Glowing Skin ComboIt’s time to be a glow getter with the goodness of natural ingredients in our Vitamin C Glowing Skin Combo that’s just the perfect choice for skin illumination.The first step in a skincare routine, cleansing or washing your face, helps eliminate excess oil, dirt, and lethargy. Mamaearth Vitamin C Face Wash with Vitamin C and Turmeric's goodness has brightening properties to give your skin a natural glow. The first step in a skincare routine, cleansing or washing your face, helps eliminate excess oil, dirt, and lethargy. Mamaearth Vitamin C Face Wash with Vitamin C and Turmeric's goodness has brightening properties to give your skin a natural glow. The second step in a skincare routine is toning, which helps clean leftover impurities and excess oil from the face. An awesome product for pore tightening, Mamaearth Vitamin C Face Toner also cleanses pores from within while protecting the skin from acne and breakouts.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes in our Vitamin C Combo for Glowing Skin – just as you would want your products.Vitamin C Face Wash – 100mlVitamin C Toner – 1ooml"
Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin - Pack of 2 (25 g * 2),https://mamaearth.in/product/niacinamide-bamboo-sheet-mask-with-niacinamide-ginger-extract-for-clear-glowing-skin-25-g-1,5,298,0%,225g,"['niacinamide', 'ginger extract', 'tea tree oil', 'citric acid']","Niacinamide Bamboo Sheet Mask with Niacinamide & Ginger Extract for Clear & Glowing Skin - Pack of 2 (25 g * 2)Sheet masks are a super satisfying, convenient, and fun way to give your skin some TLC at home. Your skin gets an instant boost of suppleness because each sheet mask is packed with nine days of serum hydration. Formulated with the power of Niacinamide and Ginger, the sheet mask will also help your skin tone and texture, and it’s proven to reduce acne marks & scars.Mamaearth sheet masks are extremely gentle and safe for you because they are made from bamboo, unlike other sheet masks that are made of polyester - a first for India. They’re biodegradable, making them good for you and good for the environment! The sheet mask is suitable for all skin types, is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Vitamin C Bamboo Sheet Mask with Vitamin C & Honey for Skin Illumination - Pack of 2 (25 g * 2),https://mamaearth.in/product/vitamin-c-bamboo-sheet-mask-with-vitamin-c-honey-for-skin-illumination-25-g-1,5,298,0%,225g,"['vitamin c', 'honey', 'argan oil', 'niacinamide']","Vitamin C Bamboo Sheet Mask with Vitamin C & Honey for Skin Illumination - Pack of 2 (25 g * 2)Need that instant Vitamin C glow for your skin? Vitamin C Bamboo Sheet Mask is the pick me up your skin needs! Go, become a glow getter in just 15 minutes.Crafted with the goodness of Vitamin C and Honey, the sheet mask helps fight free-radical damage and reduces dark spots. Honey keeps the skin moisturized and plump. Together, they will make your skin look radiant. Want more? Our sheet masks come packed with nine days of serum hydration, giving you the shot of suppleness it needs.Mamaearth sheet masks are India’s 1st Bamboo-Based Masks, which means they’re gentle and biodegradable - great for your skin and great for the environment. The sheet mask is suitable for all skin types, is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Rice Water Bamboo Sheet Mask with Rice Water & Coconut Milk for Deep Hydration - Pack of 2 (25 g * 2),https://mamaearth.in/product/rice-water-bamboo-sheet-mask-with-rice-water-coconut-milk-for-deep-hydration-25-g-1,5,298,0%,225g,"['rice water', 'coconut milk', 'argan oil', 'palm extract']","Rice Water Bamboo Sheet Mask with Rice Water & Coconut Milk for Deep Hydration - Pack of 2 (25 g * 2)Nothing’s as nice as rice for hydrated, nourished, and supple skin! Give your skin a spa treatment in just 15 minutes with Mamaearth Rice Water Bamboo Sheet Mask. Crafted with the goodness of Rice Water and Coconut, the sheet mask has ingredients that are extremely hydrating, help clear patchy skin, and encourage skin brightening. Rice Water is filled with amino acids, which makes the skin brighter while Coconut promotes firmness, making skin look smoother and softer. Plus the sheet mask comes packed with nine days of serum hydration. This is India’s 1st Bamboo-Based Sheet Mask. It’s gentle on your skin and biodegradable, making it great for you and for the environment. It is suitable for all skin types, is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc.This is India’s 1st Bamboo-Based Sheet Mask. It’s gentle on your skin and biodegradable, making it great for you and for the environment. It is suitable for all skin types, is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening - Pack of 2 (25 g * 2),https://mamaearth.in/product/ubtan-bamboo-sheet-mask-with-turmeric-saffron-for-skin-brightening-25-g-1,5,298,0%,225g,"['turmeric', 'saffron', 'green tea', 'kiwi']","Ubtan Bamboo Sheet Mask with Turmeric & Saffron for Skin Brightening - Pack of 2 (25 g * 2)Do you want the traditional goodness of Turmeric and Saffron, without the hassle? Yes, please! Get brighter, more hydrated and fresher looking skin with Ubtan Bamboo Sheet Mask. This sheet mask is super effective as each one comes packed with nine days of serum hydration, making your skin brighter in just 15 minutes. Time to Get, Set, GLOW! Crafted with the goodness of Turmeric and Saffron, the Ubtan Bamboo Sheet Mask will help you win the battle against dull skin, dark spots & pigmentation. Our sheet masks aren’t just good for your skin, they’re environment-friendly too because they’re India’s 1st Bamboo-Based Sheet Masks. They are suitable for all skin types, are free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc.Our sheet masks aren’t just good for your skin, they’re environment-friendly too because they’re India’s 1st Bamboo-Based Sheet Masks. They are suitable for all skin types, are free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
CoCo Bamboo Sheet Mask with Coffee & Cocoa for Skin Awakening - Pack of 2 (25 g * 2),https://mamaearth.in/product/coco-bamboo-sheet-mask-with-coffee-cocoa-for-skin-awakening-25-g-1,5,298,0%,225g,"['coffee', '', 'theobroma cacao', 'niacinamide', 'citric acid']","CoCo Bamboo Sheet Mask with Coffee & Cocoa for Skin Awakening - Pack of 2 (25 g * 2)Kick off your shoes, get comfortable, and reward your skin with an indulgent and hydrating sheet mask, much like a relaxing day at the spa! It’s easy to use, convenient and will unmask thoroughly refreshed and glowing skin in minutes. Our CoCo Sheet Mask is super effective as each one comes packed with nine days of serum hydration, making your skin supple and softer in just 15 minutes. Mamaearth CoCo Bamboo Sheet Mask is crafted with the goodness of Coffee and Cocoa that are loaded with antioxidants and have excellent soothing properties. These together fight free radical damage, restoring and energizing your skin.Our sheet masks are also India’s 1st Bamboo-Based Sheet Masks, which makes them skin as well as environment-friendly. The sheet mask is suitable for all skin types, is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Retinol Bamboo Sheet Mask with Retinol & Bakuchi for Fine Lines & Wrinkles - Pack of 2 (25 g * 2),https://mamaearth.in/product/retinol-bamboo-sheet-mask-with-retinol-bakuchi-for-fine-lines-wrinkles-25-g-1,5,298,0%,225g,"['retinol', '', '', 'bakuchi', 'vitamin c', 'grape seed']","Retinol Bamboo Sheet Mask with Retinol & Bakuchi for Fine Lines & Wrinkles - Pack of 2 (25 g * 2)Defy the hands of time and bring back that youthful-looking skin! Say goodbye to fine lines and other signs of aging with Mamaearth Retinol Bamboo Sheet Mask. The super effective sheet mask also packs in nine days of serum hydration in one go, leaving your skin supple and soft.  "
Tea Tree Hair Oil with Tea Tree & Ginger Oil for Dandruff Free Hair – 250ml,https://mamaearth.in/product/tea-tree-hair-oil-with-tea-tree-ginger-oil-for-dandruff-free-hair-250ml,5,499,0%,250ml,"['tea tree', 'ginger', 'bhringraj', 'salicylic acid']","Tea Tree Hair Oil with Tea Tree & Ginger Oil for Dandruff Free Hair – 250mlThe ultimate answer to dandruff and itchy scalp is here! Mamaearth Tea Tree Hair Oil, crafted with the natural goodness of Tea Tree & Ginger Oil, has anti-bacterial and antifungal properties that gently treat the scalp and banish dandruff-causing bacteria.Our Tea Tree Hair Oil penetrates deeply and promotes healthy hair growth by unclogging scalp build-up and nourishing hair follicles. Bid farewell to hair damage and itchy scalp. Say hello to voluminous and healthy hair and a dandruff-free scalp.Dermatologically tested, this Tea Tree Hair Oil has no harmful chemicals and is free of Toxins, Parabens, and Mineral Oils."
Argan Hair Oil with Argan Oil & Avocado Oil for Frizz-Free & Stronger Hair – 250 ml,https://mamaearth.in/product/argan-hair-oil-with-argan-oil-avocado-oil-for-frizz-free-stronger-hair-250-ml,5,599,0%,250ml,"['argan oil', 'avocado oil', 'coconut oil', 'castor oil']",Argan Hair Oil with Argan Oil & Avocado Oil for Frizz-Free & Stronger Hair – 250 ml
Hyaluronic Bamboo Sheet Mask with Rosehip Oil for Soft & Plump Skin - Pack of 2 (25 g * 2),https://mamaearth.in/product/hyaluronic-bamboo-sheet-mask-with-rosehip-oil-for-soft-plump-skin-25-g-1,4.8,298,0%,225g,"['hyaluronic acid', 'rosehip oil', 'niacinamide', 'honey']","Hyaluronic Bamboo Sheet Mask with Rosehip Oil for Soft & Plump Skin - Pack of 2 (25 g * 2)You asked, we delivered. Meet your ultimate ‘me time’ BFF! Mamaearth Hyaluronic Bamboo Sheet Mask with Hyaluronic Acid and Rosehip Oil. Say hello to skin that’s soft, plump and super hydrated. It’s also quick, easy, and super effective as it comes packed with nine days of serum hydration. Yup, you read that right! The goodness doesn't stop here. The Sheet Mask fights all major signs of aging, and reduces the appearance of open pores. Whether your plans involve a quick outing with friends or a dinner date with your BFF, this sheet mask is your ultimate partner. Mamaearth sheet masks are India’s 1st Bamboo-Based Masks, which makes them skin as well as environment-friendly. It is suitable for all skin types, and is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination - 15 g,https://mamaearth.in/product/vitamin-c-sleeping-mask-with-aloe-vera-for-skin-illumination-15-g,4.8,99,0%,15g,"['vitamin c', 'aloe vera']",Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination - 15 g
Ubtan Night Face Mask with Turmeric & Niacinamide for Glowing Skin – 100 g,https://mamaearth.in/product/ubtan-night-face-mask-with-turmeric-niacinamide-for-glowing-skin-100-g,5,599,0%,100g,"['turmeric', 'niacinamide', 'aloe vera', 'ascorbyl-2 glucoside (vitamin c)']","Ubtan Night Face Mask with Turmeric & Niacinamide for Glowing Skin – 100 gReady to wake up to brighter and clearer looking skin? Mamaearth Ubtan Night Face Mask goes to work while you sleep and preps the skin overnight to give you that wonderful morning glow.Crafted with the goodness of Turmeric and the power of Niacinamide, Mamaearth UbtanNight Face Mask helps repair damaged cells while keeping the skin hydrated and promoting collagen production. Prepare to fall in love with its beautiful smooth texture which feels relaxing and absorbs instantly. Apply it at night and open your eyes to bright & well-rested skin in the morning.The product is dermatologically tested and is suitable for all skin types. It contains no harmful chemicals, toxins, or Parabens and is 100% safe to add to your PM skin regimen."
Essential Anti-Hair Fall Kit,https://mamaearth.in/product/essential-anti-hair-fall-kit,5,1199,29%,null,"['onion', 'niacinamide', 'keratin', 'redensyl']","Essential Anti-Hair Fall KitTime to say goodbye to hair fall with Mamaearth Essential Anti-Hair Fall Kit! Powered with the goodness of onion, it’s the only defense you need to combat hair fall. Let nature’s goodness be your choice to control hair fall, revive hair, and improve overall hair quality.Loaded with the goodness of ingredients like Onion, Niacinamide, Keratin, Bhringraj, Amla, Pea Sprouts, Redensyl, and Vitamin E – the Essential Anti-Hair Fall Kit improves hair growth and strengthens hair roots. Rich in sulfur content, Onion is an exceptionally powerful ingredient that makes hair stronger and reduces breakage. Niacinamide stimulates blood circulation and promotes faster absorption of nutrients. Mamaearth Essential Anti-Hair Fall Kit is safe for colored & chemically treated hair; the products in this combo are free of harmful chemicals & toxins such as Silicones, Parabens, Mineral Oil & Dyes.Onion Scalp Serum – 50ml Onion Shampoo – 250mlOnion Conditioner – 250ml Onion Oil – 150ml "
Anti-Pollution Kit,https://mamaearth.in/product/anti-pollution-kit,5,999,26%,null,"['coffee', 'cocoa', 'vitamin c', 'aloe vera', 'turmeric']","Anti-Pollution KitFight the odds of dull and uneven skin tone with a revitalizing and rejuvenating skincare regimen prepped to face the forces of nature.Mamaearth Anti-Pollution Kit formulated with natural, antioxidant, and toxin-free ingredients like Cocoa, Coffee, Vitamin C, Aloe Vera & Turmeric keeps your skin immune against pollution, sun, and free radical damage. The products in the kit are gentle, lightweight, non-comedogenic, and highly effective for achieving a clear, smooth, and flawless complexion with religious use.And because of our no toxins and harmful chemicals philosophy, you won’t find any Silicones, Parabens, Mineral Oil & Dyes.Coco Face Scrub - 100gCoCo Face Wash - 100mlVitamin C Toner - 200mlAnti-Pollution Daily Face Cream- 80ml"
Wedding Glow Skin Rejuvenation Kit,https://mamaearth.in/product/wedding-glow-skin-rejuvenation-kit,5,1349,25%,null,"['turmeric', 'saffron', 'mulberry extract', 'aloe vera']","Wedding Glow Skin Rejuvenation KitIt’s time to prep-up for the wedding season with the goodness of Mamaearth. Bring home Mamaearth Wedding Glow Skin Rejuvenation Kit and start your journey to glowing skin with our non-toxic & safe products. Welcome skin that is clean, clear, and glows naturally! Fortified with the healing goodness of Turmeric, skin-brightening effects of Mulberry & Vitamin C, and soothing properties of Aloe Vera, the kit uplifts and lets your inner radiance shine forth, making you look like a dream.Ubtan Face Wash - 100mlUbtan Face Mask- 100gAnti-Pollution Daily Face Cream- 80mlBye Bye Blemishes- 30mlAloe Turmeric Gel- 150ml"
Hyaluronic Bamboo Sheet Mask with Rosehip Oil for Soft & Plump Skin - 25 g,https://mamaearth.in/product/hyaluronic-bamboo-sheet-mask-with-rosehip-oil-for-soft-plump-skin-25-g,5,149,0%,25g,"['hyaluronic acid', 'rosehip oil', 'niacinamide', 'honey']","Hyaluronic Bamboo Sheet Mask with Rosehip Oil for Soft & Plump Skin - 25 gYou asked, we delivered. Meet your ultimate ‘me time’ BFF! Mamaearth Hyaluronic Bamboo Sheet Mask with Hyaluronic Acid and Rosehip Oil. Say hello to skin that’s soft, plump and super hydrated. It’s also quick, easy, and super effective as it comes packed with nine days of serum hydration. Yup, you read that right! The goodness doesn't stop here. The Sheet Mask fights all major signs of aging, and reduces the appearance of open pores. Whether your plans involve a quick outing with friends or a dinner date with your BFF, this sheet mask is your ultimate partner. Mamaearth sheet masks are India’s 1st Bamboo-Based Masks, which makes them skin as well as environment-friendly. It is suitable for all skin types, and is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
Retinol Bamboo Sheet Mask with Retinol & Bakuchi for Fine Lines & Wrinkles - 25 g,https://mamaearth.in/product/retinol-bamboo-sheet-mask-with-retinol-bakuchi-for-fine-lines-wrinkles-25-g,5,149,0%,25g,"['retinol', '', '', 'bakuchi', 'vitamin c', 'grape seed']","Retinol Bamboo Sheet Mask with Retinol & Bakuchi for Fine Lines & Wrinkles - 25 gDefy the hands of time and bring back that youthful-looking skin! Say goodbye to fine lines and other signs of aging with Mamaearth Retinol Bamboo Sheet Mask. The super effective sheet mask also packs in nine days of serum hydration in one go, leaving your skin supple and soft.  "
CoCo Bamboo Sheet Mask with Coffee & Cocoa for Skin Awakening - 25 g,https://mamaearth.in/product/coco-bamboo-sheet-mask-with-coffee-cocoa-for-skin-awakening-25-g,5,149,0%,25g,"['coffee', '', 'theobroma cacao', 'niacinamide', 'citric acid']","CoCo Bamboo Sheet Mask with Coffee & Cocoa for Skin Awakening - 25 gKick off your shoes, get comfortable, and reward your skin with an indulgent and hydrating sheet mask, much like a relaxing day at the spa! It’s easy to use, convenient and will unmask thoroughly refreshed and glowing skin in minutes. Our CoCo Sheet Mask is super effective as each one comes packed with nine days of serum hydration, making your skin supple and softer in just 15 minutes. Mamaearth CoCo Bamboo Sheet Mask is crafted with the goodness of Coffee and Cocoa that are loaded with antioxidants and have excellent soothing properties. These together fight free radical damage, restoring and energizing your skin.Our sheet masks are also India’s 1st Bamboo-Based Sheet Masks, which makes them skin as well as environment-friendly. The sheet mask is suitable for all skin types, is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
"Pro-Growth Hair Tonic for better hair growth, 100ml",https://mamaearth.in/product/buy-hair-growth-tonic,4.8,499,0%,100ml,"['korean red ginseng', 'caffeine', 'basil oil']","Pro-Growth Hair Tonic for better hair growth, 100ml"
Rice Water Bamboo Sheet Mask with Rice Water & Coconut Milk for Deep Hydration - 25 g ,https://mamaearth.in/product/rice-water-bamboo-sheet-mask-with-rice-water-coconut-milk-for-deep-hydration-25-g,5,149,0%,25g,"['rice water', 'coconut milk', 'argan oil', 'palm extract']","Rice Water Bamboo Sheet Mask with Rice Water & Coconut Milk for Deep Hydration - 25 g Nothing’s as nice as rice for hydrated, nourished, and supple skin! Give your skin a spa treatment in just 15 minutes with Mamaearth Rice Water Bamboo Sheet Mask. Crafted with the goodness of Rice Water and Coconut, the sheet mask has ingredients that are extremely hydrating, help clear patchy skin, and encourage skin brightening. Rice Water is filled with amino acids, which makes the skin brighter while Coconut promotes firmness, making skin look smoother and softer. Plus the sheet mask comes packed with nine days of serum hydration. This is India’s 1st Bamboo-Based Sheet Mask. It’s gentle on your skin and biodegradable, making it great for you and for the environment. It is suitable for all skin types, is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc.This is India’s 1st Bamboo-Based Sheet Mask. It’s gentle on your skin and biodegradable, making it great for you and for the environment. It is suitable for all skin types, is free of alcohol & harmful toxins such as Parabens, Mineral Oil, Silicones, etc."
